,data_id,r,method,dataset
0,0,0.7409619199396973,SFA,lorenz_fixed
1,1,0.6248831416451529,SFA,lorenz_fixed
2,2,0.6420406635333538,SFA,lorenz_fixed
3,3,0.5988246290834124,SFA,lorenz_fixed
4,4,0.7052067944568222,SFA,lorenz_fixed
5,5,0.7359098165780092,SFA,lorenz_fixed
6,6,0.8099334256383502,SFA,lorenz_fixed
7,7,0.7917944279812629,SFA,lorenz_fixed
8,8,0.6075650917943672,SFA,lorenz_fixed
9,9,0.6795516246976945,SFA,lorenz_fixed
10,10,0.6703351560628705,SFA,lorenz_fixed
11,11,0.615075667760297,SFA,lorenz_fixed
12,12,0.8138370721168579,SFA,lorenz_fixed
13,13,0.5742705905649128,SFA,lorenz_fixed
14,14,0.6594704257202986,SFA,lorenz_fixed
15,15,0.7923667660121735,SFA,lorenz_fixed
16,16,0.6602437487949058,SFA,lorenz_fixed
17,17,0.692236411291116,SFA,lorenz_fixed
18,18,0.9124653709218415,SFA,lorenz_fixed
19,19,0.9657342184791007,SFA,lorenz_fixed
20,20,0.6544218341142418,SFA,lorenz_fixed
21,21,0.6134516390381894,SFA,lorenz_fixed
22,22,0.5779248008121601,SFA,lorenz_fixed
23,23,0.7196890339232772,SFA,lorenz_fixed
24,24,0.6136190914334896,SFA,lorenz_fixed
25,25,0.6637548547830314,SFA,lorenz_fixed
26,26,0.6874094270782756,SFA,lorenz_fixed
27,27,0.6610894335918219,SFA,lorenz_fixed
28,28,0.6473041791314535,SFA,lorenz_fixed
29,29,0.654119097382772,SFA,lorenz_fixed
30,30,0.8800730791380954,SFA,lorenz_fixed
31,31,0.7627874487702373,SFA,lorenz_fixed
32,32,0.5981508579263042,SFA,lorenz_fixed
33,33,0.816814794685964,SFA,lorenz_fixed
34,34,0.7418539231574115,SFA,lorenz_fixed
35,35,0.6745882723899765,SFA,lorenz_fixed
36,36,0.8019184122324177,SFA,lorenz_fixed
37,37,0.7570345570164191,SFA,lorenz_fixed
38,38,0.5859572465474467,SFA,lorenz_fixed
39,39,0.7550756853084305,SFA,lorenz_fixed
40,40,0.7200836601431188,SFA,lorenz_fixed
41,41,0.6111971865802963,SFA,lorenz_fixed
42,42,0.9038715431611353,SFA,lorenz_fixed
43,43,0.7124703522401261,SFA,lorenz_fixed
44,44,0.6716233329026838,SFA,lorenz_fixed
45,45,0.19506281323545005,SFA,lorenz_fixed
46,46,0.6809113994946995,SFA,lorenz_fixed
47,47,0.680333684149808,SFA,lorenz_fixed
48,48,0.8635663717007018,SFA,lorenz_fixed
49,49,0.7745753126612105,SFA,lorenz_fixed
50,50,0.8304716800716779,SFA,lorenz_fixed
51,51,0.8644797089640135,SFA,lorenz_fixed
52,52,0.7468288838551788,SFA,lorenz_fixed
53,53,0.7236016351168584,SFA,lorenz_fixed
54,54,0.6793979829493341,SFA,lorenz_fixed
55,55,0.8951879831673184,SFA,lorenz_fixed
56,56,0.8924169387950006,SFA,lorenz_fixed
57,57,0.6388049789698855,SFA,lorenz_fixed
58,58,0.8029203761212532,SFA,lorenz_fixed
59,59,0.7115128114100476,SFA,lorenz_fixed
60,60,0.7647457558293642,SFA,lorenz_fixed
61,61,0.7203166175649084,SFA,lorenz_fixed
62,62,0.6459377771914344,SFA,lorenz_fixed
63,63,0.8740858798849744,SFA,lorenz_fixed
64,64,0.9312194615783762,SFA,lorenz_fixed
65,65,0.88225032717944,SFA,lorenz_fixed
66,66,0.8126596948523629,SFA,lorenz_fixed
67,67,0.5741418646917641,SFA,lorenz_fixed
68,68,0.6214508150168657,SFA,lorenz_fixed
69,69,0.6723124914754879,SFA,lorenz_fixed
70,70,0.6475652056746822,SFA,lorenz_fixed
71,71,0.919623831920739,SFA,lorenz_fixed
72,72,0.7938302691998984,SFA,lorenz_fixed
73,73,0.854907240921935,SFA,lorenz_fixed
74,74,0.8020436442291469,SFA,lorenz_fixed
75,75,0.7768286485546803,SFA,lorenz_fixed
76,76,0.782551395926503,SFA,lorenz_fixed
77,77,0.7741848542894172,SFA,lorenz_fixed
78,78,0.8615246846657051,SFA,lorenz_fixed
79,79,0.5324998454158081,SFA,lorenz_fixed
80,80,0.8486494196181452,SFA,lorenz_fixed
81,81,0.6892774676598264,SFA,lorenz_fixed
82,82,0.5944368248981016,SFA,lorenz_fixed
83,83,0.7888483895745644,SFA,lorenz_fixed
84,84,0.5564512196564007,SFA,lorenz_fixed
85,85,0.6142618471767503,SFA,lorenz_fixed
86,86,0.6433438335162508,SFA,lorenz_fixed
87,87,0.7586158999082965,SFA,lorenz_fixed
88,88,0.6297001493306243,SFA,lorenz_fixed
89,89,0.7191371643506099,SFA,lorenz_fixed
90,90,0.8101115777706676,SFA,lorenz_fixed
91,91,0.7855599832672537,SFA,lorenz_fixed
92,92,0.7530840409798826,SFA,lorenz_fixed
93,93,0.6942784646915015,SFA,lorenz_fixed
94,94,0.6699907579296068,SFA,lorenz_fixed
95,95,0.6207931316406313,SFA,lorenz_fixed
96,96,0.760840801510278,SFA,lorenz_fixed
97,97,0.7850967117107668,SFA,lorenz_fixed
98,98,0.7269649108012272,SFA,lorenz_fixed
99,99,0.833468244845502,SFA,lorenz_fixed
